neighborhood|city|type|year|pricePerSqm|price|size|address
Oulunkylä|Helsinki|K|2024|6020|298000|49.5|Mestarintie 19
Punavuori|Helsinki|K|1963|7308|285000|39|Iso Roobertinkatu 52
Puotila|Helsinki|K|1962|3431|175000|51|Rusthollinpolku 6 B
Pitäjänmäki|Helsinki|K|2015|5314|449000|84.5|Kutomotie 10
Meilahti|Helsinki|K|1945|6100|244000|40|Kuusitie 16 A
Jätkäsaari|Helsinki|K|2021|6761|351578|52|Azorienkuja 1
Merihaka, , Hakaniemi|Helsinki|K|1985|5866|525000|89.5|Hakaniemenranta 26 A
Myllypuro|Helsinki|K|1965|2101|187000|89|Tuulimyllyntie 3
Malmi|Helsinki|K|1989|2162|160000|74|Notkotie 23 J
Alppiharju|Helsinki|K|1961|5309|369000|69.5|Porvoonkatu 5-7 A
Kallio|Helsinki|K|1910|4400|198000|45|Toinen Linja 13
Yliskylä|Helsinki|K|1966|4500|270000|60|Kirkkosalmentie 3 D 52
Töölö|Helsinki|K|1935|7041|345000|49|Töölönkatu 29
Punavuori|Helsinki|K|1938|8298|780000|94|Merimiehenkatu 31
Puotila|Helsinki|K|1961|3143|187000|59.5|Klaavuntie 9 G
Ylä-Malmi|Helsinki|K|1983|3606|119000|33|Heinäpellonkuja 1
Hermanni|Helsinki|K|2005|6074|495000|81.5|Vellamonkatu 1
Kruunuvuorenranta|Helsinki|K|2016|3445|329000|95.5|Koirasaarentie 21
Kallio|Helsinki|K|1910|5709|298000|52.2|Hämeentie 30 A
Etu-Töölö|Helsinki|K|1927|8000|360000|45|Caloniuksenkatu 5
Etu-Töölö|Helsinki|K|2017|8966|798000|89|Mechelininkatu 3a
Käpylä|Helsinki|K|1952|2978|207000|69.5|Koskelantie 23 D
Kruununhaka|Helsinki|K|1923|8310|349000|42|Vuorikatu 22
Käpylä|Helsinki|K|1998|5862|255000|43.5|Käpyläntie 6
Lauttasaari|Helsinki|K|0|6231|243000|39|Lauttasaarentie 9
Eira|Helsinki|K|1911|10658|778000|73|Merikatu 35
Töölö|Helsinki|K|1936|7200|648000|90|Minna Canthin katu 1 A
Kamppi|Helsinki|K|1963|6531|369000|56.5|Eerikinkatu 22
Kalasatama|Helsinki|K|2025|5357|458000|85.5|Kalasatamankatu 32 A 9
Kalasatama|Helsinki|K|2025|5487|417000|76|Kalasatamankatu 32 A 17
Verkkosaari|Helsinki|K|2025|5045|449000|89|Kalasatamankatu 32
Pihlajamäki|Helsinki|K|1969|2889|182000|63|Johtokivenkuja 4 C
Kruununhaka|Helsinki|K|1903|7823|485000|62|Meritullinkatu 9
Kallio|Helsinki|K|1907|7174|165000|23|Kirstinkatu 4
Ullanlinna|Helsinki|K|1937|7708|185000|24|Pietarinkatu 15 A
Ullanlinna|Helsinki|K|1954|12321|499000|40.5|Siltatie 3
Kluuvi|Helsinki|K|1908|9388|230000|24.5|Mikonkatu 22
Kulosaari|Helsinki|K|1960|5849|155000|26.5|Kulosaaren puistotie 42 B
Myllypuro|Helsinki|K|1965|3026|174000|57.5|Tuulimyllyntie 3 E
Tapaninvainio|Helsinki|K|1971|4429|124000|28|Takaniityntie 5
Kalasatama|Helsinki|K|2015|6307|678000|107.5|Capellan puistotie 2
Etu-Töölö|Helsinki|K|1920|7542|890000|118|Museokatu 23 A
Siltamäki|Helsinki|K|1973|1665|134000|80.5|Jousimiehentie 10 O
Kivikko|Helsinki|K|2026|4297|429710|100|Kivijatatie 7 A 26
Kivikko|Helsinki|K|2026|5175|188900|36.5|Kivijatatie 7 A 12
Kivikko|Helsinki|K|2026|4955|265070|53.5|Kivijatatie 7 A 8
Mellunmäki|Helsinki|K|2025|3697|319800|86.5|Ounasvaarantie 20 A1
Kallio|Helsinki|K|1967|5391|248000|46|Wallininkatu 8
Harju|Helsinki|K|1941|5606|185000|33|Vaasankatu 9
Kalasatama, Verkkosaari|Helsinki|K|2021|6943|368000|53|Capellanranta 6
Verkkosaari|Helsinki|K|2020|7983|459000|57.5|Capellanranta 3 D
Pirkkola|Helsinki|K|2025|4908|549700|112|Petaksentie 4
Kruunuvuorenranta|Helsinki|K|2020|5000|240000|48|Disankatu 4
Hermanni|Helsinki|K|1958|5476|115000|21|Saarenkatu 10
Pohjois-Haaga|Helsinki|K|1956|4982|279000|56|Aino Acktén tie 1
Myllypuro|Helsinki|K|1977|2443|149000|61|Alakiventie 7
Tapulikaupunki|Helsinki|K|1976|1742|169000|97|Palovartijantie 1-7 B
Merihaka|Helsinki|K|1974|5556|375000|67.5|Haapaniemenkatu 16
Kannelmäki|Helsinki|K|1959|3571|183900|51.5|Vanhaistentie 7 C
Munkkiniemi|Helsinki|K|1956|7592|987000|130|Perustie 32
Kruunuvuorenranta|Helsinki|K|2019|4719|545000|115.5|Saaristolaivastonkatu 2
Mellunmäki|Helsinki|K|1978|1788|135000|75.5|Ounasvaarankuja 3 A
Ullanlinna|Helsinki|K|1961|7651|417000|54.5|Laivurinkatu 35
Kruununhaka|Helsinki|K|1962|6730|498000|74|Liisankatu 4
Pihlajisto|Helsinki|K|1975|2211|210000|95|Pyynikintie 1
Mellunmäki|Helsinki|K|2027|5479|139724|25.5|Ounasvaarantie 18 A 3
Mellunmäki|Helsinki|K|2027|4599|259833|56.5|Ounasvaarantie 18 A 1
Mellunmäki|Helsinki|K|2027|4603|174924|38|Ounasvaarantie 18 A 4
Pukinmäki|Helsinki|K|1978|2395|182000|76|Eskolantie 7 B
Punavuori|Helsinki|K|1931|7868|598000|76|Tehtaankatu 25
Sompasaari|Helsinki|K|2021|8122|930000|114.5|Sompasaarenlaituri 16
Kulosaari|Helsinki|K|1960|6865|219000|31.9|Kulosaaren puistotie 50
Lauttasaari|Helsinki|K|2005|6468|359000|55.5|Itälahdenkatu 10 a
Keski-Vuosaari|Helsinki|K|1967|2486|174000|70|Punakiventie 5 C
Kallio|Helsinki|K|1937|6172|179000|29|Helsinginkatu 2b
Sörnäinen|Helsinki|K|1962|5580|279000|50|Vilhonvuorenkatu 8 A
Kallio|Helsinki|K|1985|5857|205000|35|Hämeentie 7 A
Lauttasaari|Helsinki|K|1980|5140|460000|89.5|Itälahdenkatu 8
Itä-Pasila|Helsinki|K|2004|4301|329000|76.5|Radanrakentajantie 4 B
Lauttasaari|Helsinki|K|2019|8194|295000|36|Lauttasaarenmäki 4
Hermanni|Helsinki|K|1959|5275|269000|51|Orioninkatu 13-15
Vallila|Helsinki|K|1929|6844|219000|32|Sturenkatu 35
Tapanila|Helsinki|K|2011|4486|314000|70|Hiisikuja 2
Alppiharju|Helsinki|K|1931|6405|269000|42|Vesilinnankatu 19 B
Puotinharju|Helsinki|K|1963|2846|185000|65|Kajaaninlinnantie 3
Ullanlinna|Helsinki|K|1912|8595|361000|42|Laivanvarustajankatu 3
Hietalahti|Helsinki|K|1979|5750|368000|64|Lapinrinne 2 G
Hietalahti|Helsinki|K|1928|6920|173000|25|Lönnrotinkatu 43a A
Vallila|Helsinki|K|2007|6484|415000|64|Aleksis Kiven katu 29 A
Munkkisaari|Helsinki|K|1974|6917|249000|36|Hernesaarenkatu 11 A
Harju|Helsinki|K|1937|6111|275000|45|Helsinginkatu 4b A
Harju|Helsinki|K|1937|4398|179000|40.7|Helsinginkatu 2 b A
Ullanlinna|Helsinki|K|1928|11082|1690000|152.5|Vuorimiehenkatu 17
Katajanokka|Helsinki|K|1898|16111|3190000|198|Luotsikatu 1
Ullanlinna|Helsinki|K|1918|10076|1980000|196.5|Vuorimiehenkatu 11
Hermanni|Helsinki|K|1959|4760|238000|50|Orioninkatu 14-16 A
Töölö|Helsinki|K|1929|7156|458000|64|Runeberginkatu 48 b
Alppiharju|Helsinki|K|1962|6548|275000|42|Viipurinkatu 1 B
Aurinkolahti|Helsinki|K|2002|5862|340000|58|Solvikinkatu 5 C
Herttoniemenranta|Helsinki|K|2000|4788|249000|52|Petter Wetterin tie 9 A
Aurinkolahti|Helsinki|K|2007|3477|299000|86|Aurinkotuulenkatu 19 A
Herttoniemenranta|Helsinki|K|1998|6174|284000|46|Laivalahdenkaari 22 A
Kallio|Helsinki|K|1939|5806|418000|72|Kalliolanrinne 3 B
Etu-Töölö|Helsinki|K|1932|8448|887000|105|Arkadiankatu 36
Kannelmäki|Helsinki|K|1961|2741|148000|54|Pajupillintie 20 C
Hietalahti|Helsinki|K|2025|11388|279000|24.5|Hietalahdenranta 13
Käpylä|Helsinki|K|1952|4807|199500|41.5|Koskelantie 19 A
Länsi-Pasila|Helsinki|K|1981|3610|287000|79.5|Palkkatilankatu 8
Siltamäki|Helsinki|K|1969|1528|149000|97.5|Jousimiehentie 6
Katajanokka|Helsinki|K|1913|7417|890000|120|Pormestarinrinne 4
Etelä-Haaga|Helsinki|K|1970|5667|408000|72|Ryytimaantie 5
Pitäjänmäki|Helsinki|K|1973|3550|229000|64.5|Rakentajantie 10
Pikku|Helsinki|K|1991|4388|215000|49|Korppaanmäentie 36
Etu-Töölö|Helsinki|K|1928|8083|582000|72|Tunturikatu 14
Lauttasaari|Helsinki|K|1974|4721|288000|61|Nahkahousuntie 6 A
Kruununhaka|Helsinki|K|1911|8839|990000|112|Meritullinkatu 12 C
Jätkäsaari|Helsinki|K|2021|6828|495000|72.5|Bermudankatu 5
Ullanlinna|Helsinki|K|1902|9219|1346000|146|Kapteeninkatu 11 B
Punavuori|Helsinki|K|1938|7813|250000|32|Pursimiehenkatu 14 B
Pasila|Helsinki|K|1977|3982|225000|56.5|Ratamestarinkatu 13
Töölö|Helsinki|K|1938|7143|325000|45.5|Töölönkatu 36
Töölö|Helsinki|K|1937|6071|340000|56|Humalistonkatu 1 B
Siltamäki|Helsinki|K|1973|2576|85000|33|Jousimiehentie 9
Taka-Töölö|Helsinki|K|1929|7000|364000|52|Urheilukatu 20 A 2
Kallio|Helsinki|K|1913|6073|580000|95.5|Hämeentie 8 B
Kruununhaka|Helsinki|K|1914|7763|295000|38|Meritullinkatu 29 A
Kruununhaka|Helsinki|K|1938|7200|648000|90|Kulmakatu 6 B
Kruunuvuorenranta|Helsinki|K|2024|10026|987600|98.5|Horisontti 2 D 25
Kruunuvuorenranta|Helsinki|K|2024|8336|466800|56|Horisontti 2 D 26
Viikki|Helsinki|K|2011|4835|249000|51.5|Von Daehnin katu 21
Hietalahti|Helsinki|K|2021|9648|439000|45.5|Telakkakatu 12 A
Aurinkolahti|Helsinki|K|2023|4456|363200|81.5|Bertha Pauligin katu 2 a A 27
Arabianranta|Helsinki|K|2023|7565|556000|73.5|Kaanaankatu 1d F233
Kalasatama|Helsinki|K|2024|14917|1417100|95|Konttinosturinkuja 2 E 27
Pasila|Helsinki|K|2022|5164|377000|73|Rullakkokatu 3 A 12
Pohjois-Pasila|Helsinki|K|2023|4939|249400|50.5|Metsäläntie 8 a A19
Pasila|Helsinki|K|2021|5531|431400|78|Postiljooninkatu 3 A 4
Pasila|Helsinki|K|2023|4539|453900|100|Metsäläntie 8 b A38
Pasila|Helsinki|K|2023|4538|270000|59.5|Metsäläntie 8 b A9
Pohjois-Pasila|Helsinki|K|2023|4093|421600|103|Metsäläntie 8 a A11
Siltasaari|Helsinki|K|1912|9095|995000|109.4|Pitkänsillanranta 17 A
Etelä-Haaga|Helsinki|K|2023|6628|497072|75|Paatsamatie 16 C
Keskusta|Helsinki|K|1962|6660|325000|48.8|Annankatu 25
Pukinmäki|Helsinki|K|1981|3104|239000|77|Karhusuontie 6
Hakaniemenranta|Helsinki|K|1977|5376|457000|85|Hakaniemenranta 18 B
Kannelmäki|Helsinki|K|1960|3250|195000|60|Kanneltie 6
Kumpula|Helsinki|K|1987|4013|299000|74.5|Isonniitynkatu 9 I
Herttoniemenranta|Helsinki|K|1998|5592|425000|76|Laivalahdenkaari 22 B
Hevossalmi|Helsinki|R|1983|4566|379000|83|Kallioniementie 5 C
Etu-Töölö|Helsinki|K|1928|6667|580000|87|Ilmarinkatu 4
Ruskeasuo|Helsinki|K|1959|5723|495000|86.5|Koroistentie 13
Etelä-Haaga|Helsinki|K|1995|4515|298000|66|Ristolantie 10
Pohjois-Haaga|Helsinki|K|1952|4048|168000|41.5|Santavuorentie 3
Töölö|Helsinki|K|1936|6034|525000|87|Mannerheimintie 82 A
Siltamäki|Helsinki|K|1968|1478|119000|80.5|Jalopeurantie 1 A
Ullanlinna|Helsinki|K|1937|7458|179000|24|Pietarinkatu 15
Etu-Töölö|Helsinki|K|1933|7791|335000|43|Väinämöisenkatu 11
Kallio|Helsinki|K|1963|5526|268000|48.5|Porthaninkatu 10 A
Töölö|Helsinki|K|1937|6000|258000|43|Mannerheimintie 41
Kamppi|Helsinki|K|1932|8540|269000|31.5|Malminrinne 2-4 C
Puotila|Helsinki|K|1966|3449|219000|63.5|Rantakartanontie 11 E
Merihaka|Helsinki|K|1985|4844|310000|64|Hakaniemenranta 26
Puotila|Helsinki|K|1961|3118|212000|68|Klaavuntie 14 I
Tapaninkylä|Helsinki|R|1989|4148|309000|74.5|Hietapellontie 29 B
Helsinki|Helsinki|K|1965|1946|145000|74.5|Arhotie 19
Etu-Töölö|Helsinki|K|0|7750|868000|112|Aurorankatu 15
Aurinkolahti|Helsinki|K|2007|4949|339000|68.5|Aurinkotuulenkatu 14 A
Suutarila|Helsinki|K|1991|1983|119000|60|Parmaajanpolku 3
Etu-Töölö|Helsinki|K|1921|8425|995000|118.1|Fredrikinkatu 71 A
Aurinkolahti|Helsinki|K|2004|3646|299000|82|Maustetehtaankatu 6 A
Munkkivuori|Helsinki|K|1956|4297|275000|64|Ulvilantie 19c B
Munkkisaari|Helsinki|K|0|8684|330000|38|Hernesaarenkatu 15 A
Lassila|Helsinki|K|1984|2911|131000|45|Niitynperänpolku 1-3
Kaisaniemi|Helsinki|K|1906|7932|349000|44|Mikonkatu 20
Käpylä|Helsinki|K|1952|6570|498000|75.8|Koskelantie 23
Malminkartano|Helsinki|K|1984|2383|168000|70.5|Puustellinpolku 25 D
Keski-Vuosaari|Helsinki|K|0|2617|212000|81|Isonvillasaarentie 5 J
Etelä-Haaga|Helsinki|K|1962|4964|273000|55|Kauppalantie 26 A
Jätkäsaari|Helsinki|K|2022|4863|355000|73|Kanariankatu 5 A
Kallio|Helsinki|K|0|7458|179000|24|Viides linja 12 D
Käpylä|Helsinki|K|1946|5270|195000|37|Käpyläntie 2
Käpylä|Helsinki|K|1940|5500|332750|60.5|Untamontie 7 C
Ruoholahti|Helsinki|K|1993|4390|349000|79.5|Itämerenkatu 2
Kallio|Helsinki|K|1959|5537|299000|54|Wallininkatu 6
Sörnäinen|Helsinki|K|1935|5240|469000|89.5|Kulmavuorenkatu 2 B
Lauttasaari|Helsinki|K|2014|7475|669000|89.5|Nahkahousuntie 1
Etu-Töölö|Helsinki|K|1922|8076|848000|105|Arkadiankatu 12
Pasila|Helsinki|K|0|4850|380725|78.5|Metsäläntie 8 b A7
Herttoniemi|Helsinki|K|1973|4866|199500|41|Hiihtäjäntie 2 A
Aurinkolahti|Helsinki|K|2004|3366|244000|72.5|Gustav Pauligin katu 8 A
Kruunuvuorenranta|Helsinki|K|2020|4866|326000|67|Koirasaarentie 50
Kamppi|Helsinki|K|2015|8239|379000|46|Hietalahdenkatu 8
Mellunkylä|Helsinki|R|1986|2850|228000|80|Tanhuantie 8
Kalasatama|Helsinki|K|2027|7655|788425|103|Koukkupojankuja 2 A35
Kalasatama|Helsinki|K|2027|7397|758167|102.5|Koukkupojankuja 2 A33
Kalasatama|Helsinki|K|2027|6838|676974|99|Koukkupojankuja 2 A34
Kalasatama|Helsinki|K|2027|7226|740624|102.5|Koukkupojankuja 2 A31
Kalasatama|Helsinki|K|2027|6565|649959|99|Koukkupojankuja 2 A32
Kalasatama|Helsinki|K|2027|7143|735682|103|Koukkupojankuja 2 A29
Kalasatama|Helsinki|K|2027|6489|642421|99|Koukkupojankuja 2 A30
Kalasatama|Helsinki|K|2027|7066|727838|103|Koukkupojankuja 2 A27
Kalasatama|Helsinki|K|2027|6120|602806|98.5|Koukkupojankuja 2 A28
Kalasatama|Helsinki|K|2027|5968|587805|98.5|Koukkupojankuja 2 A24
Kalasatama|Helsinki|K|2027|6044|595305|98.5|Koukkupojankuja 2 A26
Kalasatama|Helsinki|K|2027|6997|717208|102.5|Koukkupojankuja 2 A25
Kalasatama|Helsinki|K|2027|6914|712151|103|Koukkupojankuja 2 A23
Kalasatama|Helsinki|K|2027|6365|655620|103|Koukkupojankuja 2 A21
Kalasatama|Helsinki|K|2027|5891|580304|98.5|Koukkupojankuja 2 A22
Kalasatama|Helsinki|K|2027|5815|572803|98.5|Koukkupojankuja 2 A20
Kalasatama|Helsinki|K|2027|5962|417364|70|Koukkupojankuja 2 A19
Kalasatama|Helsinki|K|2027|5768|268226|46.5|Koukkupojankuja 2 A17
Kalasatama|Helsinki|K|2027|5309|517582|97.5|Koukkupojankuja 2 A18
Kalasatama|Helsinki|K|2027|5894|353669|60|Koukkupojankuja 2 A15
Kalasatama|Helsinki|K|2027|5816|340228|58.5|Koukkupojankuja 2 A16
Kalasatama|Helsinki|K|2027|6535|202582|31|Koukkupojankuja 2 A14
Kalasatama|Helsinki|K|2027|5680|264127|46.5|Koukkupojankuja 2 A13
Kalasatama|Helsinki|K|2027|5734|335446|58.5|Koukkupojankuja 2 A12
Hervanta|Tampere|K|0|2216|123000|55.5|Mekaniikanpolku 12
TAMPERE|Tampere|O|0|1644|429000|261|Kiulukatu 13
Kauppi|Tampere|K|2020|5336|595000|111.5|Kuntokatu 11
Levonmäki|Tampere|O|0|2698|228000|84.5|Neilikkakuja 3 A
Kaleva|Tampere|K|0|4164|229000|55|Sarvijaakonkatu 23 B
Tahmela|Tampere|K|1967|3748|298000|79.5|Pispankatu 1-3 B
Kaleva|Tampere|K|1962|3334|196700|59|Lemminkäisenkatu 10 B
Tammela|Tampere|K|2023|5091|196000|38.5|Salhojankatu 25
Tasanne|Tampere|O|0|2902|238000|82|Kokkokallionkatu 19 B
Takahuhti|Tampere|R|1970|2616|259000|99|Takahuhdinkatu 73
Holvasti|Tampere|R|1993|3236|178000|55|Toispuolisenkatu 4
Hervanta|Tampere|R|0|2090|139000|66.5|Maijalankatu 9 D
Kalevanharju|Tampere|K|2007|3776|219000|58|Järvensivuntie 17 B
Koivistonkylä|Tampere|K|0|2034|118000|58|Koivistontie 10 A
Viinikka|Tampere|K|0|2909|96000|33|Kortteentie 12
Härmälänranta|Tampere|K|0|3069|89000|29|Härmälänkatu 25
Keskusta|Tampere|K|2019|8558|997000|116.5|Itsenäisyydenkatu 3
Tampella|Tampere|K|2008|5192|270000|52|Tampellan esplanadi 9 A
Tampella|Tampere|K|0|5233|225000|43|Pellavantori 2
Ranta-Tampella|Tampere|K|2021|5667|340000|60|Ranta-Tampellan katu 12
Nekala|Tampere|K|1957|3111|84000|27|Kuoppamäentie 39
Härmälänranta|Tampere|K|2017|4638|218000|47|Vihurinkatu 4
Takahuhti|Tampere|O|1955|2738|449000|164|Loutunkatu 2
Hervantajärvi|Tampere|K|2023|3573|234000|65.5|Lyyrapyrstö 1
Muotiala|Tampere|K|2015|4083|245000|60|Ruopionkatu 10 C
Janka|Tampere|K|0|1460|90500|62|Jankanraitti 12
Pispala|Tampere|O|1924|3169|580000|183|Rinnekatu 4
Hervantajärvi|Tampere|K|2021|4816|118000|24.5|Makkarajärvenkatu 72
Kaleva|Tampere|K|1956|2960|185000|62.5|Teiskontie 19 E
Korkinmäki|Tampere|O|0|1660|269000|162|Kyläkeinunkatu 21 A
Hervanta|Tampere|K|2002|2452|179000|73|Insinöörinkatu 51
Keskusta|Tampere|K|1963|3857|189000|49|Rautatienkatu 17
Ranta-Tampella|Tampere|K|0|5321|149000|28|Ranta-Tampellan katu 17
Multisilta|Tampere|K|1976|1370|74000|54|Multiojankatu 32 B
Epilä|Tampere|R|0|3757|139000|37|Rankasillankatu 7 D
Koivistonkylä|Tampere|R|1984|2929|249000|85|Koivistontie 53
Härmälä|Tampere|K|2006|3824|239000|62.5|Lentokonetehtaankatu 4 A
Keskusta|Tampere|K|1981|4934|449000|91|Näsilinnankatu 12 C
Halkoniemi|Tampere|K|2019|3973|149000|37.5|Halkoniemenkuja 1 C
Kaleva|Tampere|K|2018|5548|258000|46.5|Sarvijaakonkatu 39
Hervantajärvi|Tampere|O|2023|3353|399000|119|Mehtosenkaari 19
Keskusta|Tampere|K|2023|7617|179000|23.5|Mustanlahdenkatu 21 A
Härmälänranta|Tampere|K|2022|4942|128500|26|Potkurinkatu 4 A
Vuores|Tampere|K|0|3980|101500|25.5|Takamaanrinne 16 A
Kaukajärvi|Tampere|K|1970|1429|90000|63|Saarenvainionkatu 11 F
Atala|Tampere|R|0|1699|130000|76.5|Pyydystäjänkatu 2 E
Nekala|Tampere|K|1941|1403|44900|32|Nekalantie 52
Pyynikki|Tampere|K|1896|6844|219000|32|Koulukatu 13
Lentävänniemi|Tampere|K|0|1915|180000|94|Lielahdenkatu 31
Kaleva|Tampere|K|1951|3793|110000|29|Ilmarinkatu 37 A
Härmälä|Tampere|K|1961|1878|108900|58|Härmälänkatu 25 A
Atala|Tampere|R|1989|2127|134000|63|Ahkionkatu 4 D
Kaleva|Tampere|K|1964|3280|164000|50|Pellervonkatu 2
Ranta-Tampella|Tampere|K|2021|6466|569000|88|Ranta-Tampellan katu 12 A
Viinikka|Tampere|K|1920|2674|115000|43|Kurjentaival 41 D
Keskusta|Tampere|K|2021|8164|449000|55|Sorinsilta 4
Pohtola|Tampere|R|1990|3079|137000|44.5|Listakatu 7
Hervanta|Tampere|R|1980|1975|158000|80|Kemiankatu 15
Muotiala|Tampere|R|0|4103|199000|48.5|Ruopionkatu 10
Hatanpää|Tampere|K|2022|4647|237000|51|Hatanpään puistokuja 25
Armonkallio|Tampere|K|1912|3939|130000|33|Leppäkatu 3
Vuores|Tampere|K|2013|3515|152900|43.5|Vuoreksen Puistokatu 94 A
Härmälänranta|Tampere|K|0|4307|152900|35.5|Tuiskunkatu 6 A
Hervanta|Tampere|K|1983|1974|149000|75.5|Lindforsinkatu 19 A
Annala|Tampere|K|1981|1365|129000|94.5|Kolunkatu 4 D
Pyynikki|Tampere|K|2019|5558|289000|52|Satamakatu 17
Annala|Tampere|R|0|1905|120000|63|Suopellonkatu 5
Tesoma|Tampere|K|1966|1201|89000|74.1|Tesomajärvenkatu 20
Tammela|Tampere|K|1969|4029|139000|34.5|Kullervonkatu 24
Onkiniemi|Tampere|K|2004|4359|595000|136.5|Haarlankatu 7 D
Kaleva|Tampere|K|0|6259|169000|27|Ylämummo 5 A
Rautaharkko|Tampere|K|1969|2400|108000|45|Kartanonkatu 2
Härmälänranta|Tampere|K|0|3308|129000|39|Lentovarikonkatu 2 A
Kaakinmaa|Tampere|K|0|4342|165000|38|Tiiliruukinkatu 7
Finlayson|Tampere|K|1986|3653|137000|37.5|Kuninkaankatu 10 A
Kaleva|Tampere|K|1961|4491|128000|28.5|Pellervonkatu 18
Hämeenpuisto|Tampere|K|1939|4831|285000|59|Hämeenpuisto 35
Santalahti|Tampere|K|0|4667|350000|75|Rantakylänraitti 3
Kaleva|Tampere|K|1956|3168|198000|62.5|Teiskontie 15 A
Tammela|Tampere|K|1976|2814|159000|56.5|Ilmarinkatu 14 A
Aitoniemi|Tampere|O|2006|3159|1150000|364|Pirttiläntie 32
Amuri|Tampere|K|1937|3491|199000|57|Mustanlahdenkatu 24 A
Härmälä|Tampere|K|2021|3976|169000|42.5|Tarmonkuja 2 A
Tammela|Tampere|K|1980|3069|178000|58|Pohjankulma 4
Hervantajärvi|Tampere|K|0|4324|147000|34|Makkarajärvenkatu 80 A
Armonkallio|Tampere|R|1907|4200|399000|95|Siltakatu 17 As
